4 3 WallLeft_cobblestone
4 4 WallLeft_cobblestone
4 3 Ceiling
4 4 Ceiling
3 3 Ceiling
3 4 Ceiling
4 7 WallLeft_cobblestone
4 8 WallLeft_cobblestone
4 7 Ceiling
4 8 Ceiling
3 7 Ceiling
3 8 Ceiling
4 13 WallLeft_cobblestone
4 14 WallLeft_cobblestone
4 13 Ceiling
4 14 Ceiling
3 13 Ceiling
3 14 Ceiling
4 17 WallLeft_cobblestone
4 18 WallLeft_cobblestone
4 17 Ceiling
4 18 Ceiling
3 17 Ceiling
3 18 Ceiling
8 17 WallLeft_cobblestone
8 18 WallLeft_cobblestone
8 17 Ceiling
8 18 Ceiling
7 17 Ceiling
7 18 Ceiling
14 17 WallLeft_cobblestone
14 18 WallLeft_cobblestone
14 17 Ceiling
14 18 Ceiling
13 17 Ceiling
13 18 Ceiling
18 17 WallLeft_cobblestone
18 18 WallLeft_cobblestone
18 17 Ceiling
18 18 Ceiling
17 17 Ceiling
17 18 Ceiling
18 3 WallLeft_cobblestone
18 4 WallLeft_cobblestone
18 3 Ceiling
18 4 Ceiling
17 3 Ceiling
17 4 Ceiling
18 7 WallLeft_cobblestone
18 8 WallLeft_cobblestone
18 7 Ceiling
18 8 Ceiling
17 7 Ceiling
17 8 Ceiling
18 13 WallLeft_cobblestone
18 14 WallLeft_cobblestone
18 13 Ceiling
18 14 Ceiling
17 13 Ceiling
17 14 Ceiling
8 3 WallLeft_cobblestone
8 4 WallLeft_cobblestone
8 3 Ceiling
8 4 Ceiling
7 3 Ceiling
7 4 Ceiling
14 3 WallLeft_cobblestone
14 4 WallLeft_cobblestone
14 3 Ceiling
14 4 Ceiling
13 3 Ceiling
13 4 Ceiling
